transaction_id,transaction_date,customer_id,product_id,quantity,unit_price,discount_percent,shipping_cost,currency_code,ingestion_timestamp,source_system
1001,2024-01-15,1,101,2,299.99,0,15.0,USD,2025-12-18 14:05:14.915748,CSV_File
1002,2024-01-16,2,102,1,149.99,10,10.0,GBP,2025-12-18 14:05:14.915748,CSV_File
1003,2024-01-18,3,103,3,79.99,5,8.0,CAD,2025-12-18 14:05:14.915748,CSV_File
1004,2024-01-20,4,104,1,199.99,0,12.0,USD,2025-12-18 14:05:14.915748,CSV_File
1005,2024-01-22,5,105,2,499.99,15,20.0,EUR,2025-12-18 14:05:14.915748,CSV_File
1006,2024-01-25,6,106,1,49.99,0,5.0,MXN,2025-12-18 14:05:14.915748,CSV_File
1007,2024-01-28,7,107,2,34.99,10,7.0,AUD,2025-12-18 14:05:14.915748,CSV_File
1008,2024-02-01,8,108,1,129.99,5,10.0,USD,2025-12-18 14:05:14.915748,CSV_File
1009,2024-02-05,9,109,3,59.99,0,6.0,EUR,2025-12-18 14:05:14.915748,CSV_File
1010,2024-02-10,10,110,1,349.99,10,15.0,EUR,2025-12-18 14:05:14.915748,CSV_File
1011,2024-02-12,1,103,1,79.99,0,8.0,USD,2025-12-18 14:05:14.915748,CSV_File
1012,2024-02-15,11,101,2,299.99,5,15.0,BRL,2025-12-18 14:05:14.915748,CSV_File
1013,2024-02-18,12,102,1,149.99,0,10.0,SGD,2025-12-18 14:05:14.915748,CSV_File
1014,2024-02-20,13,104,1,199.99,10,12.0,KRW,2025-12-18 14:05:14.915748,CSV_File
1015,2024-02-22,14,105,1,499.99,0,20.0,INR,2025-12-18 14:05:14.915748,CSV_File
1016,2024-02-25,15,106,2,49.99,5,5.0,CHF,2025-12-18 14:05:14.915748,CSV_File
1017,2024-03-01,1,107,3,34.99,0,7.0,USD,2025-12-18 14:05:14.915748,CSV_File
1018,2024-03-05,2,108,1,129.99,10,10.0,GBP,2025-12-18 14:05:14.915748,CSV_File
1019,2024-03-10,3,109,2,59.99,0,6.0,CAD,2025-12-18 14:05:14.915748,CSV_File
1020,2024-03-15,4,110,1,349.99,5,15.0,USD,2025-12-18 14:05:14.915748,CSV_File
